city_code,CAGR,Geometric Mean Return,Annualized Volatility,Sharpe Ratio,City Name
27226,-0.96%,-0.74%,2.04%,-0.360,藤井寺市
27227,-0.56%,-0.25%,2.19%,-0.116,東大阪市
27228,-0.97%,-0.95%,1.04%,-0.905,泉南市
27229,-1.00%,-1.01%,1.94%,-0.518,四條畷市
27230,-0.90%,-0.77%,1.99%,-0.386,交野市
27231,0.17%,0.39%,1.90%,0.204,大阪狭山市
27232,-1.29%,-1.29%,1.24%,-1.043,阪南市
27301,0.99%,1.23%,7.17%,0.171,島本町
27321,-2.90%,-2.72%,6.55%,-0.415,豊能町
27322,-2.46%,-2.56%,1.24%,-2.063,能勢町
27341,-0.73%,-0.53%,1.63%,-0.326,忠岡町
27361,-0.77%,-0.75%,1.44%,-0.523,熊取町
27362,-0.45%,-0.40%,1.43%,-0.277,田尻町
27366,-2.68%,-2.75%,1.95%,-1.408,岬町
27381,-1.61%,-1.64%,1.37%,-1.199,太子町
27382,-1.67%,-1.59%,9.46%,-0.168,河南町
27383,-3.76%,-3.63%,1.96%,-1.854,千早赤阪村
28101,1.00%,1.48%,3.11%,0.474,神戸市東灘区
28102,1.74%,1.99%,3.66%,0.544,神戸市灘区
28105,0.38%,0.47%,2.12%,0.223,神戸市兵庫区
28106,0.03%,0.04%,1.74%,0.023,神戸市長田区
28107,0.03%,0.04%,2.72%,0.015,神戸市須磨区
28108,-0.11%,-0.06%,1.60%,-0.035,神戸市垂水区
28109,-0.58%,-0.51%,2.70%,-0.188,神戸市北区
28110,2.87%,3.49%,8.14%,0.429,神戸市中央区
28111,-0.48%,-0.48%,4.53%,-0.107,神戸市西区
28201,0.10%,0.12%,1.52%,0.079,姫路市
28202,0.24%,0.56%,2.61%,0.215,尼崎市
28203,0.19%,0.20%,2.33%,0.084,明石市
28204,1.04%,1.58%,3.20%,0.492,西宮市
28205,-3.86%,-3.73%,3.59%,-1.039,洲本市
28206,1.81%,2.41%,3.75%,0.641,芦屋市
28207,0.54%,0.71%,1.97%,0.359,伊丹市
28208,-2.18%,-2.08%,1.09%,-1.912,相生市
28209,-2.38%,-2.45%,1.62%,-1.516,豊岡市
28210,0.79%,0.67%,2.80%,0.239,加古川市
28212,-1.88%,-1.85%,0.49%,-3.765,赤穂市
28213,-1.93%,-2.09%,1.68%,-1.243,西脇市
28214,0.15%,0.34%,2.06%,0.166,宝塚市
28215,-0.21%,-0.47%,3.72%,-0.125,三木市
28216,-0.08%,-0.12%,2.28%,-0.054,高砂市
28217,-0.65%,-0.50%,2.04%,-0.247,川西市
28218,0.83%,0.59%,4.61%,0.127,小野市
28219,-0.98%,-0.98%,3.84%,-0.256,三田市
28220,-0.31%,-0.37%,1.19%,-0.312,加西市
28221,0.28%,0.04%,7.13%,0.005,丹波篠山市
